backend,selected_kernel,work_group_size,cl_compiler_options,matrix_dimensions,elapsed_s
   cuBLAS, 7,32,-cl-std=CL1.2,4096,0.03354
   clBlas, 7,32,-cl-std=CL1.2,4096,0.08390
myGEMM.cu, 7,32,-cl-std=CL1.2,4096,0.03839
myGEMM.cl, 7,32,-cl-std=CL1.2,4096,0.03846

 2
   cuBLAS, 3,16,-cl-std=CL2.0,1024,0.00094
   clBlas, 3,16,-cl-std=CL2.0,1024,0.00331
myGEMM.cu, 3,16,-cl-std=CL2.0,1024,0.00233
myGEMM.cl, 3,16,-cl-std=CL2.0,1024,0.00240
   cuBLAS, 3,16,-cl-std=CL2.0,2048,0.00538
   clBlas, 3,16,-cl-std=CL2.0,2048,0.01797
myGEMM.cu, 3,16,-cl-std=CL2.0,2048,0.01764
myGEMM.cl, 3,16,-cl-std=CL2.0,2048,0.01350
   cuBLAS, 3,16,-cl-std=CL2.0,4096,0.02722
   clBlas, 3,16,-cl-std=CL2.0,4096,0.08025
myGEMM.cu, 3,16,-cl-std=CL2.0,4096,0.14303
myGEMM.cl, 3,16,-cl-std=CL2.0,4096,0.14592
   cuBLAS, 3,32,-cl-std=CL2.0,1024,0.00092
   clBlas, 3,32,-cl-std=CL2.0,1024,0.00326
myGEMM.cu, 3,32,-cl-std=CL2.0,1024,0.00181
myGEMM.cl, 3,32,-cl-std=CL2.0,1024,0.00181
   cuBLAS, 3,32,-cl-std=CL2.0,2048,0.00535
   clBlas, 3,32,-cl-std=CL2.0,2048,0.01793
myGEMM.cu, 3,32,-cl-std=CL2.0,2048,0.01334
myGEMM.cl, 3,32,-cl-std=CL2.0,2048,0.01408
   cuBLAS, 3,32,-cl-std=CL2.0,4096,0.02807
   clBlas, 3,32,-cl-std=CL2.0,4096,0.07946
myGEMM.cu, 3,32,-cl-std=CL2.0,4096,0.08448
myGEMM.cl, 3,32,-cl-std=CL2.0,4096,0.08833
   cuBLAS, 4,16,-cl-std=CL2.0,1024,0.00105
   clBlas, 4,16,-cl-std=CL2.0,1024,0.00433
myGEMM.cu, 4,16,-cl-std=CL2.0,1024,0.00307
myGEMM.cl, 4,16,-cl-std=CL2.0,1024,0.00290
   cuBLAS, 4,16,-cl-std=CL2.0,2048,0.00538
   clBlas, 4,16,-cl-std=CL2.0,2048,0.01798
myGEMM.cu, 4,16,-cl-std=CL2.0,2048,0.02257
myGEMM.cl, 4,16,-cl-std=CL2.0,2048,0.02229
   cuBLAS, 4,16,-cl-std=CL2.0,4096,0.02701
   clBlas, 4,16,-cl-std=CL2.0,4096,0.08118
myGEMM.cu, 4,16,-cl-std=CL2.0,4096,0.16195
myGEMM.cl, 4,16,-cl-std=CL2.0,4096,0.15733
   cuBLAS, 4,32,-cl-std=CL2.0,1024,0.00094
   clBlas, 4,32,-cl-std=CL2.0,1024,0.00332
myGEMM.cu, 4,32,-cl-std=CL2.0,1024,0.00245
myGEMM.cl, 4,32,-cl-std=CL2.0,1024,0.00233
   cuBLAS, 4,32,-cl-std=CL2.0,2048,0.00538
   clBlas, 4,32,-cl-std=CL2.0,2048,0.01794
myGEMM.cu, 4,32,-cl-std=CL2.0,2048,0.01836
myGEMM.cl, 4,32,-cl-std=CL2.0,2048,0.01818
   cuBLAS, 4,32,-cl-std=CL2.0,4096,0.03142
   clBlas, 4,32,-cl-std=CL2.0,4096,0.07679
myGEMM.cu, 4,32,-cl-std=CL2.0,4096,0.11509
myGEMM.cl, 4,32,-cl-std=CL2.0,4096,0.11245
   cuBLAS, 5,16,-cl-std=CL2.0,1024,0.00094
   clBlas, 5,16,-cl-std=CL2.0,1024,0.00330
myGEMM.cu, 5,16,-cl-std=CL2.0,1024,0.00312
myGEMM.cl, 5,16,-cl-std=CL2.0,1024,0.00471
   cuBLAS, 5,16,-cl-std=CL2.0,2048,0.00540
   clBlas, 5,16,-cl-std=CL2.0,2048,0.01796
myGEMM.cu, 5,16,-cl-std=CL2.0,2048,0.02172
myGEMM.cl, 5,16,-cl-std=CL2.0,2048,0.03031
   cuBLAS, 5,16,-cl-std=CL2.0,4096,0.02444
   clBlas, 5,16,-cl-std=CL2.0,4096,0.08298
myGEMM.cu, 5,16,-cl-std=CL2.0,4096,0.16787
myGEMM.cl, 5,16,-cl-std=CL2.0,4096,0.23307
   cuBLAS, 5,32,-cl-std=CL2.0,1024,0.00093
   clBlas, 5,32,-cl-std=CL2.0,1024,0.00329
myGEMM.cu, 5,32,-cl-std=CL2.0,1024,0.00269
myGEMM.cl, 5,32,-cl-std=CL2.0,1024,0.00429
   cuBLAS, 5,32,-cl-std=CL2.0,2048,0.00538
   clBlas, 5,32,-cl-std=CL2.0,2048,0.01795
myGEMM.cu, 5,32,-cl-std=CL2.0,2048,0.01998
myGEMM.cl, 5,32,-cl-std=CL2.0,2048,0.03297
   cuBLAS, 5,32,-cl-std=CL2.0,4096,0.02717
   clBlas, 5,32,-cl-std=CL2.0,4096,0.07982
myGEMM.cu, 5,32,-cl-std=CL2.0,4096,0.12117
myGEMM.cl, 5,32,-cl-std=CL2.0,4096,0.18408
   cuBLAS, 6,16,-cl-std=CL2.0,1024,0.00094
   clBlas, 6,16,-cl-std=CL2.0,1024,0.00332
myGEMM.cu, 6,16,-cl-std=CL2.0,1024,0.00123
myGEMM.cl, 6,16,-cl-std=CL2.0,1024,0.00137
   cuBLAS, 6,16,-cl-std=CL2.0,2048,0.00541
   clBlas, 6,16,-cl-std=CL2.0,2048,0.01796
myGEMM.cu, 6,16,-cl-std=CL2.0,2048,0.00697
myGEMM.cl, 6,16,-cl-std=CL2.0,2048,0.00823
   cuBLAS, 6,16,-cl-std=CL2.0,4096,0.04043
   clBlas, 6,16,-cl-std=CL2.0,4096,0.07881
myGEMM.cu, 6,16,-cl-std=CL2.0,4096,0.03479
myGEMM.cl, 6,16,-cl-std=CL2.0,4096,0.04152
   cuBLAS, 6,32,-cl-std=CL2.0,1024,0.00093
   clBlas, 6,32,-cl-std=CL2.0,1024,0.00331
myGEMM.cu, 6,32,-cl-std=CL2.0,1024,0.00124
myGEMM.cl, 6,32,-cl-std=CL2.0,1024,0.00137
   cuBLAS, 6,32,-cl-std=CL2.0,2048,0.00538
   clBlas, 6,32,-cl-std=CL2.0,2048,0.01797
myGEMM.cu, 6,32,-cl-std=CL2.0,2048,0.00699
myGEMM.cl, 6,32,-cl-std=CL2.0,2048,0.00698
   cuBLAS, 6,32,-cl-std=CL2.0,4096,0.03324
   clBlas, 6,32,-cl-std=CL2.0,4096,0.07960
myGEMM.cu, 6,32,-cl-std=CL2.0,4096,0.03274
myGEMM.cl, 6,32,-cl-std=CL2.0,4096,0.04025
   cuBLAS, 7,16,-cl-std=CL2.0,1024,0.00093
   clBlas, 7,16,-cl-std=CL2.0,1024,0.00384
myGEMM.cu, 7,16,-cl-std=CL2.0,1024,0.00136
myGEMM.cl, 7,16,-cl-std=CL2.0,1024,0.00146
   cuBLAS, 7,16,-cl-std=CL2.0,2048,0.00563
   clBlas, 7,16,-cl-std=CL2.0,2048,0.01865
myGEMM.cu, 7,16,-cl-std=CL2.0,2048,0.00570
myGEMM.cl, 7,16,-cl-std=CL2.0,2048,0.00608
   cuBLAS, 7,16,-cl-std=CL2.0,4096,0.03255
   clBlas, 7,16,-cl-std=CL2.0,4096,0.08197
myGEMM.cu, 7,16,-cl-std=CL2.0,4096,0.03853
myGEMM.cl, 7,16,-cl-std=CL2.0,4096,0.03946
   cuBLAS, 7,32,-cl-std=CL2.0,1024,0.00092
   clBlas, 7,32,-cl-std=CL2.0,1024,0.00330
myGEMM.cu, 7,32,-cl-std=CL2.0,1024,0.00135
myGEMM.cl, 7,32,-cl-std=CL2.0,1024,0.00136
   cuBLAS, 7,32,-cl-std=CL2.0,2048,0.00538
   clBlas, 7,32,-cl-std=CL2.0,2048,0.01798
myGEMM.cu, 7,32,-cl-std=CL2.0,2048,0.00748
myGEMM.cl, 7,32,-cl-std=CL2.0,2048,0.00815
   cuBLAS, 7,32,-cl-std=CL2.0,4096,0.02827
   clBlas, 7,32,-cl-std=CL2.0,4096,0.07666
myGEMM.cu, 7,32,-cl-std=CL2.0,4096,0.03900
myGEMM.cl, 7,32,-cl-std=CL2.0,4096,0.03955
   cuBLAS, 3,16,-cl-std=CL1.2,1024,0.00093
   clBlas, 3,16,-cl-std=CL1.2,1024,0.00334
myGEMM.cu, 3,16,-cl-std=CL1.2,1024,0.00233
myGEMM.cl, 3,16,-cl-std=CL1.2,1024,0.00241
   cuBLAS, 3,16,-cl-std=CL1.2,2048,0.00538
   clBlas, 3,16,-cl-std=CL1.2,2048,0.01808
myGEMM.cu, 3,16,-cl-std=CL1.2,2048,0.01764
myGEMM.cl, 3,16,-cl-std=CL1.2,2048,0.01358
   cuBLAS, 3,16,-cl-std=CL1.2,4096,0.02852
   clBlas, 3,16,-cl-std=CL1.2,4096,0.07848
myGEMM.cu, 3,16,-cl-std=CL1.2,4096,0.14407
myGEMM.cl, 3,16,-cl-std=CL1.2,4096,0.14581
   cuBLAS, 3,32,-cl-std=CL1.2,1024,0.00093
   clBlas, 3,32,-cl-std=CL1.2,1024,0.00331
myGEMM.cu, 3,32,-cl-std=CL1.2,1024,0.00181
myGEMM.cl, 3,32,-cl-std=CL1.2,1024,0.00181
   cuBLAS, 3,32,-cl-std=CL1.2,2048,0.00539
   clBlas, 3,32,-cl-std=CL1.2,2048,0.01802
myGEMM.cu, 3,32,-cl-std=CL1.2,2048,0.01334
myGEMM.cl, 3,32,-cl-std=CL1.2,2048,0.00981
   cuBLAS, 3,32,-cl-std=CL1.2,4096,0.02708
   clBlas, 3,32,-cl-std=CL1.2,4096,0.08025
myGEMM.cu, 3,32,-cl-std=CL1.2,4096,0.08422
myGEMM.cl, 3,32,-cl-std=CL1.2,4096,0.09135
   cuBLAS, 4,16,-cl-std=CL1.2,1024,0.00095
   clBlas, 4,16,-cl-std=CL1.2,1024,0.00331
myGEMM.cu, 4,16,-cl-std=CL1.2,1024,0.00295
myGEMM.cl, 4,16,-cl-std=CL1.2,1024,0.00283
   cuBLAS, 4,16,-cl-std=CL1.2,2048,0.00540
   clBlas, 4,16,-cl-std=CL1.2,2048,0.01794
myGEMM.cu, 4,16,-cl-std=CL1.2,2048,0.02138
myGEMM.cl, 4,16,-cl-std=CL1.2,2048,0.01788
   cuBLAS, 4,16,-cl-std=CL1.2,4096,0.03389
   clBlas, 4,16,-cl-std=CL1.2,4096,0.07747
myGEMM.cu, 4,16,-cl-std=CL1.2,4096,0.16376
myGEMM.cl, 4,16,-cl-std=CL1.2,4096,0.15765
   cuBLAS, 4,32,-cl-std=CL1.2,1024,0.00093
   clBlas, 4,32,-cl-std=CL1.2,1024,0.00331
myGEMM.cu, 4,32,-cl-std=CL1.2,1024,0.00245
myGEMM.cl, 4,32,-cl-std=CL1.2,1024,0.00233
   cuBLAS, 4,32,-cl-std=CL1.2,2048,0.00539
   clBlas, 4,32,-cl-std=CL1.2,2048,0.01791
myGEMM.cu, 4,32,-cl-std=CL1.2,2048,0.01794
myGEMM.cl, 4,32,-cl-std=CL1.2,2048,0.01485
   cuBLAS, 4,32,-cl-std=CL1.2,4096,0.03344
   clBlas, 4,32,-cl-std=CL1.2,4096,0.07655
myGEMM.cu, 4,32,-cl-std=CL1.2,4096,0.11309
myGEMM.cl, 4,32,-cl-std=CL1.2,4096,0.11131
   cuBLAS, 5,16,-cl-std=CL1.2,1024,0.00092
   clBlas, 5,16,-cl-std=CL1.2,1024,0.00325
myGEMM.cu, 5,16,-cl-std=CL1.2,1024,0.00312
myGEMM.cl, 5,16,-cl-std=CL1.2,1024,0.00470
   cuBLAS, 5,16,-cl-std=CL1.2,2048,0.00538
   clBlas, 5,16,-cl-std=CL1.2,2048,0.01792
myGEMM.cu, 5,16,-cl-std=CL1.2,2048,0.02352
myGEMM.cl, 5,16,-cl-std=CL1.2,2048,0.02908
   cuBLAS, 5,16,-cl-std=CL1.2,4096,0.02686
   clBlas, 5,16,-cl-std=CL1.2,4096,0.08016
myGEMM.cu, 5,16,-cl-std=CL1.2,4096,0.16695
myGEMM.cl, 5,16,-cl-std=CL1.2,4096,0.23503
   cuBLAS, 5,32,-cl-std=CL1.2,1024,0.00094
   clBlas, 5,32,-cl-std=CL1.2,1024,0.00330
myGEMM.cu, 5,32,-cl-std=CL1.2,1024,0.00269
myGEMM.cl, 5,32,-cl-std=CL1.2,1024,0.00430
   cuBLAS, 5,32,-cl-std=CL1.2,2048,0.00538
   clBlas, 5,32,-cl-std=CL1.2,2048,0.01795
myGEMM.cu, 5,32,-cl-std=CL1.2,2048,0.01999
myGEMM.cl, 5,32,-cl-std=CL1.2,2048,0.03297
   cuBLAS, 5,32,-cl-std=CL1.2,4096,0.03822
   clBlas, 5,32,-cl-std=CL1.2,4096,0.07886
myGEMM.cu, 5,32,-cl-std=CL1.2,4096,0.12206
myGEMM.cl, 5,32,-cl-std=CL1.2,4096,0.18471
   cuBLAS, 6,16,-cl-std=CL1.2,1024,0.00094
   clBlas, 6,16,-cl-std=CL1.2,1024,0.00332
myGEMM.cu, 6,16,-cl-std=CL1.2,1024,0.00125
myGEMM.cl, 6,16,-cl-std=CL1.2,1024,0.00137
   cuBLAS, 6,16,-cl-std=CL1.2,2048,0.00538
   clBlas, 6,16,-cl-std=CL1.2,2048,0.01799
myGEMM.cu, 6,16,-cl-std=CL1.2,2048,0.00697
myGEMM.cl, 6,16,-cl-std=CL1.2,2048,0.00820
   cuBLAS, 6,16,-cl-std=CL1.2,4096,0.02698
   clBlas, 6,16,-cl-std=CL1.2,4096,0.07927
myGEMM.cu, 6,16,-cl-std=CL1.2,4096,0.03246
myGEMM.cl, 6,16,-cl-std=CL1.2,4096,0.03955
   cuBLAS, 6,32,-cl-std=CL1.2,1024,0.00093
   clBlas, 6,32,-cl-std=CL1.2,1024,0.00331
myGEMM.cu, 6,32,-cl-std=CL1.2,1024,0.00124
myGEMM.cl, 6,32,-cl-std=CL1.2,1024,0.00138
   cuBLAS, 6,32,-cl-std=CL1.2,2048,0.00538
   clBlas, 6,32,-cl-std=CL1.2,2048,0.01796
myGEMM.cu, 6,32,-cl-std=CL1.2,2048,0.00696
myGEMM.cl, 6,32,-cl-std=CL1.2,2048,0.00821
   cuBLAS, 6,32,-cl-std=CL1.2,4096,0.02673
   clBlas, 6,32,-cl-std=CL1.2,4096,0.07845
myGEMM.cu, 6,32,-cl-std=CL1.2,4096,0.03214
myGEMM.cl, 6,32,-cl-std=CL1.2,4096,0.04027
   cuBLAS, 7,16,-cl-std=CL1.2,1024,0.00094
   clBlas, 7,16,-cl-std=CL1.2,1024,0.00329
myGEMM.cu, 7,16,-cl-std=CL1.2,1024,0.00134
myGEMM.cl, 7,16,-cl-std=CL1.2,1024,0.00135
   cuBLAS, 7,16,-cl-std=CL1.2,2048,0.00538
   clBlas, 7,16,-cl-std=CL1.2,2048,0.01795
myGEMM.cu, 7,16,-cl-std=CL1.2,2048,0.00747
myGEMM.cl, 7,16,-cl-std=CL1.2,2048,0.00651
   cuBLAS, 7,16,-cl-std=CL1.2,4096,0.03090
   clBlas, 7,16,-cl-std=CL1.2,4096,0.07674
myGEMM.cu, 7,16,-cl-std=CL1.2,4096,0.03858
myGEMM.cl, 7,16,-cl-std=CL1.2,4096,0.04019
   cuBLAS, 7,32,-cl-std=CL1.2,1024,0.00091
   clBlas, 7,32,-cl-std=CL1.2,1024,0.00325
myGEMM.cu, 7,32,-cl-std=CL1.2,1024,0.00134
myGEMM.cl, 7,32,-cl-std=CL1.2,1024,0.00138
   cuBLAS, 7,32,-cl-std=CL1.2,2048,0.00538
   clBlas, 7,32,-cl-std=CL1.2,2048,0.01806
myGEMM.cu, 7,32,-cl-std=CL1.2,2048,0.00747
myGEMM.cl, 7,32,-cl-std=CL1.2,2048,0.00814
   cuBLAS, 7,32,-cl-std=CL1.2,4096,0.03887
   clBlas, 7,32,-cl-std=CL1.2,4096,0.07716
myGEMM.cu, 7,32,-cl-std=CL1.2,4096,0.03904
myGEMM.cl, 7,32,-cl-std=CL1.2,4096,0.04015

 3
   cuBLAS, 3,16,-cl-std=CL2.0,1024,0.00093
   clBlas, 3,16,-cl-std=CL2.0,1024,0.00331
myGEMM.cu, 3,16,-cl-std=CL2.0,1024,0.00232
myGEMM.cl, 3,16,-cl-std=CL2.0,1024,0.00240
   cuBLAS, 3,16,-cl-std=CL2.0,2048,0.00537
   clBlas, 3,16,-cl-std=CL2.0,2048,0.01796
myGEMM.cu, 3,16,-cl-std=CL2.0,2048,0.01763
myGEMM.cl, 3,16,-cl-std=CL2.0,2048,0.01874
   cuBLAS, 3,16,-cl-std=CL2.0,4096,0.03320
   clBlas, 3,16,-cl-std=CL2.0,4096,0.07969
myGEMM.cu, 3,16,-cl-std=CL2.0,4096,0.14231
myGEMM.cl, 3,16,-cl-std=CL2.0,4096,0.14281
   cuBLAS, 3,32,-cl-std=CL2.0,1024,0.00093
   clBlas, 3,32,-cl-std=CL2.0,1024,0.00329
myGEMM.cu, 3,32,-cl-std=CL2.0,1024,0.00181
myGEMM.cl, 3,32,-cl-std=CL2.0,1024,0.00181
   cuBLAS, 3,32,-cl-std=CL2.0,2048,0.00538
   clBlas, 3,32,-cl-std=CL2.0,2048,0.01794
myGEMM.cu, 3,32,-cl-std=CL2.0,2048,0.01334
myGEMM.cl, 3,32,-cl-std=CL2.0,2048,0.01408
   cuBLAS, 3,32,-cl-std=CL2.0,4096,0.04159
   clBlas, 3,32,-cl-std=CL2.0,4096,0.07953
myGEMM.cu, 3,32,-cl-std=CL2.0,4096,0.08314
myGEMM.cl, 3,32,-cl-std=CL2.0,4096,0.09121
   cuBLAS, 4,16,-cl-std=CL2.0,1024,0.00095
   clBlas, 4,16,-cl-std=CL2.0,1024,0.00330
myGEMM.cu, 4,16,-cl-std=CL2.0,1024,0.00295
myGEMM.cl, 4,16,-cl-std=CL2.0,1024,0.00283
   cuBLAS, 4,16,-cl-std=CL2.0,2048,0.00540
   clBlas, 4,16,-cl-std=CL2.0,2048,0.01807
myGEMM.cu, 4,16,-cl-std=CL2.0,2048,0.02256
myGEMM.cl, 4,16,-cl-std=CL2.0,2048,0.02229
   cuBLAS, 4,16,-cl-std=CL2.0,4096,0.02596
   clBlas, 4,16,-cl-std=CL2.0,4096,0.07989
myGEMM.cu, 4,16,-cl-std=CL2.0,4096,0.16153
myGEMM.cl, 4,16,-cl-std=CL2.0,4096,0.15746
   cuBLAS, 4,32,-cl-std=CL2.0,1024,0.00094
   clBlas, 4,32,-cl-std=CL2.0,1024,0.00326
myGEMM.cu, 4,32,-cl-std=CL2.0,1024,0.00245
myGEMM.cl, 4,32,-cl-std=CL2.0,1024,0.00234
   cuBLAS, 4,32,-cl-std=CL2.0,2048,0.00535
   clBlas, 4,32,-cl-std=CL2.0,2048,0.01794
myGEMM.cu, 4,32,-cl-std=CL2.0,2048,0.01837
myGEMM.cl, 4,32,-cl-std=CL2.0,2048,0.01817
   cuBLAS, 4,32,-cl-std=CL2.0,4096,0.02560
   clBlas, 4,32,-cl-std=CL2.0,4096,0.07816
myGEMM.cu, 4,32,-cl-std=CL2.0,4096,0.11155
myGEMM.cl, 4,32,-cl-std=CL2.0,4096,0.11039
   cuBLAS, 5,16,-cl-std=CL2.0,1024,0.00091
   clBlas, 5,16,-cl-std=CL2.0,1024,0.00326
myGEMM.cu, 5,16,-cl-std=CL2.0,1024,0.00312
myGEMM.cl, 5,16,-cl-std=CL2.0,1024,0.00470
   cuBLAS, 5,16,-cl-std=CL2.0,2048,0.00538
   clBlas, 5,16,-cl-std=CL2.0,2048,0.01795
myGEMM.cu, 5,16,-cl-std=CL2.0,2048,0.02177
myGEMM.cl, 5,16,-cl-std=CL2.0,2048,0.03250
   cuBLAS, 5,16,-cl-std=CL2.0,4096,0.03644
   clBlas, 5,16,-cl-std=CL2.0,4096,0.07663
myGEMM.cu, 5,16,-cl-std=CL2.0,4096,0.16924
myGEMM.cl, 5,16,-cl-std=CL2.0,4096,0.23161
   cuBLAS, 5,32,-cl-std=CL2.0,1024,0.00095
   clBlas, 5,32,-cl-std=CL2.0,1024,0.00331
myGEMM.cu, 5,32,-cl-std=CL2.0,1024,0.00269
myGEMM.cl, 5,32,-cl-std=CL2.0,1024,0.00430
   cuBLAS, 5,32,-cl-std=CL2.0,2048,0.00540
   clBlas, 5,32,-cl-std=CL2.0,2048,0.01799
myGEMM.cu, 5,32,-cl-std=CL2.0,2048,0.01998
myGEMM.cl, 5,32,-cl-std=CL2.0,2048,0.02262
   cuBLAS, 5,32,-cl-std=CL2.0,4096,0.02873
   clBlas, 5,32,-cl-std=CL2.0,4096,0.08014
myGEMM.cu, 5,32,-cl-std=CL2.0,4096,0.12126
myGEMM.cl, 5,32,-cl-std=CL2.0,4096,0.18304
   cuBLAS, 6,16,-cl-std=CL2.0,1024,0.00093
   clBlas, 6,16,-cl-std=CL2.0,1024,0.00330
myGEMM.cu, 6,16,-cl-std=CL2.0,1024,0.00124
myGEMM.cl, 6,16,-cl-std=CL2.0,1024,0.00137
   cuBLAS, 6,16,-cl-std=CL2.0,2048,0.00538
   clBlas, 6,16,-cl-std=CL2.0,2048,0.01791
myGEMM.cu, 6,16,-cl-std=CL2.0,2048,0.00693
myGEMM.cl, 6,16,-cl-std=CL2.0,2048,0.00715
   cuBLAS, 6,16,-cl-std=CL2.0,4096,0.03726
   clBlas, 6,16,-cl-std=CL2.0,4096,0.07913
myGEMM.cu, 6,16,-cl-std=CL2.0,4096,0.03226
myGEMM.cl, 6,16,-cl-std=CL2.0,4096,0.03976
   cuBLAS, 6,32,-cl-std=CL2.0,1024,0.00094
   clBlas, 6,32,-cl-std=CL2.0,1024,0.00332
myGEMM.cu, 6,32,-cl-std=CL2.0,1024,0.00124
myGEMM.cl, 6,32,-cl-std=CL2.0,1024,0.00137
   cuBLAS, 6,32,-cl-std=CL2.0,2048,0.00539
   clBlas, 6,32,-cl-std=CL2.0,2048,0.01797
myGEMM.cu, 6,32,-cl-std=CL2.0,2048,0.00697
myGEMM.cl, 6,32,-cl-std=CL2.0,2048,0.00820
   cuBLAS, 6,32,-cl-std=CL2.0,4096,0.04107
   clBlas, 6,32,-cl-std=CL2.0,4096,0.07775
myGEMM.cu, 6,32,-cl-std=CL2.0,4096,0.03503
myGEMM.cl, 6,32,-cl-std=CL2.0,4096,0.04086
   cuBLAS, 7,16,-cl-std=CL2.0,1024,0.00093
   clBlas, 7,16,-cl-std=CL2.0,1024,0.00331
myGEMM.cu, 7,16,-cl-std=CL2.0,1024,0.00134
myGEMM.cl, 7,16,-cl-std=CL2.0,1024,0.00136
   cuBLAS, 7,16,-cl-std=CL2.0,2048,0.00538
   clBlas, 7,16,-cl-std=CL2.0,2048,0.01796
myGEMM.cu, 7,16,-cl-std=CL2.0,2048,0.00748
myGEMM.cl, 7,16,-cl-std=CL2.0,2048,0.00815
   cuBLAS, 7,16,-cl-std=CL2.0,4096,0.02441
   clBlas, 7,16,-cl-std=CL2.0,4096,0.07665
myGEMM.cu, 7,16,-cl-std=CL2.0,4096,0.03815
myGEMM.cl, 7,16,-cl-std=CL2.0,4096,0.03993
   cuBLAS, 7,32,-cl-std=CL2.0,1024,0.00093
   clBlas, 7,32,-cl-std=CL2.0,1024,0.00327
myGEMM.cu, 7,32,-cl-std=CL2.0,1024,0.00134
myGEMM.cl, 7,32,-cl-std=CL2.0,1024,0.00135
   cuBLAS, 7,32,-cl-std=CL2.0,2048,0.00538
   clBlas, 7,32,-cl-std=CL2.0,2048,0.01797
myGEMM.cu, 7,32,-cl-std=CL2.0,2048,0.00748
myGEMM.cl, 7,32,-cl-std=CL2.0,2048,0.00657
   cuBLAS, 7,32,-cl-std=CL2.0,4096,0.03288
   clBlas, 7,32,-cl-std=CL2.0,4096,0.07627
myGEMM.cu, 7,32,-cl-std=CL2.0,4096,0.03889
myGEMM.cl, 7,32,-cl-std=CL2.0,4096,0.03931
   cuBLAS, 3,16,-cl-std=CL1.2,1024,0.00094
   clBlas, 3,16,-cl-std=CL1.2,1024,0.00331
myGEMM.cu, 3,16,-cl-std=CL1.2,1024,0.00233
myGEMM.cl, 3,16,-cl-std=CL1.2,1024,0.00240
   cuBLAS, 3,16,-cl-std=CL1.2,2048,0.00538
   clBlas, 3,16,-cl-std=CL1.2,2048,0.01794
myGEMM.cu, 3,16,-cl-std=CL1.2,2048,0.01764
myGEMM.cl, 3,16,-cl-std=CL1.2,2048,0.01351
   cuBLAS, 3,16,-cl-std=CL1.2,4096,0.02971
   clBlas, 3,16,-cl-std=CL1.2,4096,0.07957
myGEMM.cu, 3,16,-cl-std=CL1.2,4096,0.14170
myGEMM.cl, 3,16,-cl-std=CL1.2,4096,0.14640
   cuBLAS, 3,32,-cl-std=CL1.2,1024,0.00091
   clBlas, 3,32,-cl-std=CL1.2,1024,0.00333
myGEMM.cu, 3,32,-cl-std=CL1.2,1024,0.00181
myGEMM.cl, 3,32,-cl-std=CL1.2,1024,0.00181
   cuBLAS, 3,32,-cl-std=CL1.2,2048,0.00537
   clBlas, 3,32,-cl-std=CL1.2,2048,0.01809
myGEMM.cu, 3,32,-cl-std=CL1.2,2048,0.01334
myGEMM.cl, 3,32,-cl-std=CL1.2,2048,0.01408
   cuBLAS, 3,32,-cl-std=CL1.2,4096,0.02529
   clBlas, 3,32,-cl-std=CL1.2,4096,0.07850
myGEMM.cu, 3,32,-cl-std=CL1.2,4096,0.08296
myGEMM.cl, 3,32,-cl-std=CL1.2,4096,0.09121
   cuBLAS, 4,16,-cl-std=CL1.2,1024,0.00090
   clBlas, 4,16,-cl-std=CL1.2,1024,0.00332
myGEMM.cu, 4,16,-cl-std=CL1.2,1024,0.00295
myGEMM.cl, 4,16,-cl-std=CL1.2,1024,0.00283
   cuBLAS, 4,16,-cl-std=CL1.2,2048,0.00538
   clBlas, 4,16,-cl-std=CL1.2,2048,0.01795
myGEMM.cu, 4,16,-cl-std=CL1.2,2048,0.02256
myGEMM.cl, 4,16,-cl-std=CL1.2,2048,0.01539
   cuBLAS, 4,16,-cl-std=CL1.2,4096,0.02837
   clBlas, 4,16,-cl-std=CL1.2,4096,0.07836
myGEMM.cu, 4,16,-cl-std=CL1.2,4096,0.16116
myGEMM.cl, 4,16,-cl-std=CL1.2,4096,0.16029
   cuBLAS, 4,32,-cl-std=CL1.2,1024,0.00093
   clBlas, 4,32,-cl-std=CL1.2,1024,0.00326
myGEMM.cu, 4,32,-cl-std=CL1.2,1024,0.00245
myGEMM.cl, 4,32,-cl-std=CL1.2,1024,0.00233
   cuBLAS, 4,32,-cl-std=CL1.2,2048,0.00537
   clBlas, 4,32,-cl-std=CL1.2,2048,0.01796
myGEMM.cu, 4,32,-cl-std=CL1.2,2048,0.01837
myGEMM.cl, 4,32,-cl-std=CL1.2,2048,0.01237
   cuBLAS, 4,32,-cl-std=CL1.2,4096,0.02758
   clBlas, 4,32,-cl-std=CL1.2,4096,0.08091
myGEMM.cu, 4,32,-cl-std=CL1.2,4096,0.11145
myGEMM.cl, 4,32,-cl-std=CL1.2,4096,0.11170
   cuBLAS, 5,16,-cl-std=CL1.2,1024,0.00094
   clBlas, 5,16,-cl-std=CL1.2,1024,0.00331
myGEMM.cu, 5,16,-cl-std=CL1.2,1024,0.00312
myGEMM.cl, 5,16,-cl-std=CL1.2,1024,0.00471
   cuBLAS, 5,16,-cl-std=CL1.2,2048,0.00539
   clBlas, 5,16,-cl-std=CL1.2,2048,0.01797
myGEMM.cu, 5,16,-cl-std=CL1.2,2048,0.02352
myGEMM.cl, 5,16,-cl-std=CL1.2,2048,0.03648
   cuBLAS, 5,16,-cl-std=CL1.2,4096,0.02855
   clBlas, 5,16,-cl-std=CL1.2,4096,0.07953
